#node	identifier	category	term ID	term description
PA0050	208964.PA0050	UniProt Keywords	KW-0732	Signal
PA0086	208964.PA0086	Pfam	PF13428	Tetratricopeptide repeat
PA0086	208964.PA0086	InterPro	IPR009211	Type VI secretion system accessory component TagJ
PA0086	208964.PA0086	InterPro	IPR011990	Tetratricopeptide-like helical domain superfamily
PA0087	208964.PA0087	GO Component	GO:0005622	Intracellular anatomical structure
PA0087	208964.PA0087	GO Component	GO:0005737	Cytoplasm
PA0087	208964.PA0087	GO Component	GO:0110165	Cellular anatomical entity
PA0087	208964.PA0087	STRING clusters	CL:10314	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0087	208964.PA0087	STRING clusters	CL:10315	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0087	208964.PA0087	STRING clusters	CL:10316	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0087	208964.PA0087	STRING clusters	CL:10317	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0087	208964.PA0087	STRING clusters	CL:10318	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0087	208964.PA0087	STRING clusters	CL:10319	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0087	208964.PA0087	STRING clusters	CL:10320	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0087	208964.PA0087	STRING clusters	CL:10321	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0087	208964.PA0087	STRING clusters	CL:10322	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0087	208964.PA0087	STRING clusters	CL:10323	Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0087	208964.PA0087	STRING clusters	CL:10397	Mixed, incl. Biofilm formation - Pseudomonas aeruginosa, and Type VI secretion system, RhsGE-associated Vgr protein
PA0087	208964.PA0087	STRING clusters	CL:10399	Biofilm formation - Pseudomonas aeruginosa, and Tetratricopeptide repeat
PA0087	208964.PA0087	STRING clusters	CL:10402	Mixed, incl. Tetratricopeptide repeat, and TssC1, C-terminal
PA0087	208964.PA0087	STRING clusters	CL:10404	Mixed, incl. Tetratricopeptide repeat, and Type VI secretion, TssG
PA0087	208964.PA0087	Pfam	PF04965	Baseplate wedge protein gp25
PA0087	208964.PA0087	InterPro	IPR007048	IraD/Gp25-like
PA0087	208964.PA0087	InterPro	IPR017737	Type VI secretion system protein TssE1-like
PA0088	208964.PA0088	STRING clusters	CL:10314	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0088	208964.PA0088	STRING clusters	CL:10315	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0088	208964.PA0088	STRING clusters	CL:10316	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0088	208964.PA0088	STRING clusters	CL:10317	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0088	208964.PA0088	STRING clusters	CL:10318	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0088	208964.PA0088	STRING clusters	CL:10319	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0088	208964.PA0088	STRING clusters	CL:10320	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0088	208964.PA0088	STRING clusters	CL:10321	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0088	208964.PA0088	STRING clusters	CL:10322	Mixed, incl. Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0088	208964.PA0088	STRING clusters	CL:10323	Protein secretion by the type VI secretion system, and Biofilm formation - Pseudomonas aeruginosa
PA0088	208964.PA0088	STRING clusters	CL:10397	Mixed, incl. Biofilm formation - Pseudomonas aeruginosa, and Type VI secretion system, RhsGE-associated Vgr protein
PA0088	208964.PA0088	STRING clusters	CL:10399	Biofilm formation - Pseudomonas aeruginosa, and Tetratricopeptide repeat
PA0088	208964.PA0088	STRING clusters	CL:10402	Mixed, incl. Tetratricopeptide repeat, and TssC1, C-terminal
PA0088	208964.PA0088	STRING clusters	CL:10404	Mixed, incl. Tetratricopeptide repeat, and Type VI secretion, TssG
PA0088	208964.PA0088	Pfam	PF05947	Type VI secretion system, TssF
PA0088	208964.PA0088	InterPro	IPR010272	Type VI secretion system TssF
PA0111	208964.PA0111	GO Component	GO:0016020	Membrane
PA0111	208964.PA0111	GO Component	GO:0016021	Integral component of membrane
PA0111	208964.PA0111	GO Component	GO:0031224	Intrinsic component of membrane
PA0111	208964.PA0111	GO Component	GO:0110165	Cellular anatomical entity
PA0111	208964.PA0111	STRING clusters	CL:2784	Mixed, incl. Oxidative phosphorylation, and Cytochrome c-type biogenesis
PA0111	208964.PA0111	STRING clusters	CL:2785	Mixed, incl. Oxidative phosphorylation, and Cytochrome c-type biogenesis
PA0111	208964.PA0111	STRING clusters	CL:2786	Oxidative phosphorylation, and Sodium:proton antiporter activity
PA0111	208964.PA0111	STRING clusters	CL:2787	Oxidative phosphorylation, and Peptidase M16, N-terminal
PA0111	208964.PA0111	STRING clusters	CL:2788	Oxidative phosphorylation, and Peptidase M16, N-terminal
PA0111	208964.PA0111	STRING clusters	CL:2842	Mixed, incl. Copper, and Redoxin
PA0111	208964.PA0111	COMPARTMENTS	GOCC:0005622	Intracellular
PA0111	208964.PA0111	COMPARTMENTS	GOCC:0005737	Cytoplasm
PA0111	208964.PA0111	COMPARTMENTS	GOCC:0005739	Mitochondrion
PA0111	208964.PA0111	COMPARTMENTS	GOCC:0016020	Membrane
PA0111	208964.PA0111	COMPARTMENTS	GOCC:0031975	Envelope
PA0111	208964.PA0111	COMPARTMENTS	GOCC:0043226	Organelle
PA0111	208964.PA0111	COMPARTMENTS	GOCC:0043227	Membrane-bounded organelle
PA0111	208964.PA0111	COMPARTMENTS	GOCC:0043229	Intracellular organelle
PA0111	208964.PA0111	COMPARTMENTS	GOCC:0043231	Intracellular membrane-bounded organelle
PA0111	208964.PA0111	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
PA0111	208964.PA0111	UniProt Keywords	KW-0472	Membrane
PA0111	208964.PA0111	UniProt Keywords	KW-0812	Transmembrane
PA0111	208964.PA0111	UniProt Keywords	KW-1133	Transmembrane helix
PA0112	208964.PA0112	GO Process	GO:0006725	Cellular aromatic compound metabolic process
PA0112	208964.PA0112	GO Process	GO:0006778	Porphyrin-containing compound metabolic process
PA0112	208964.PA0112	GO Process	GO:0006779	Porphyrin-containing compound biosynthetic process
PA0112	208964.PA0112	GO Process	GO:0006783	Heme biosynthetic process
PA0112	208964.PA0112	GO Process	GO:0006784	Heme A biosynthetic process
PA0112	208964.PA0112	GO Process	GO:0006807	Nitrogen compound metabolic process
PA0112	208964.PA0112	GO Process	GO:0008152	Metabolic process
PA0112	208964.PA0112	GO Process	GO:0009058	Biosynthetic process
PA0112	208964.PA0112	GO Process	GO:0009987	Cellular process
PA0112	208964.PA0112	GO Process	GO:0018130	Heterocycle biosynthetic process
PA0112	208964.PA0112	GO Process	GO:0019438	Aromatic compound biosynthetic process
PA0112	208964.PA0112	GO Process	GO:0033013	Tetrapyrrole metabolic process
PA0112	208964.PA0112	GO Process	GO:0033014	Tetrapyrrole biosynthetic process
PA0112	208964.PA0112	GO Process	GO:0034641	Cellular nitrogen compound metabolic process
PA0112	208964.PA0112	GO Process	GO:0042168	Heme metabolic process
PA0112	208964.PA0112	GO Process	GO:0042440	Pigment metabolic process
PA0112	208964.PA0112	GO Process	GO:0044237	Cellular metabolic process
PA0112	208964.PA0112	GO Process	GO:0044249	Cellular biosynthetic process
PA0112	208964.PA0112	GO Process	GO:0044271	Cellular nitrogen compound biosynthetic process
PA0112	208964.PA0112	GO Process	GO:0046148	Pigment biosynthetic process
PA0112	208964.PA0112	GO Process	GO:0046160	Heme a metabolic process
PA0112	208964.PA0112	GO Process	GO:0046483	Heterocycle metabolic process
PA0112	208964.PA0112	GO Process	GO:0071704	Organic substance metabolic process
PA0112	208964.PA0112	GO Process	GO:1901360	Organic cyclic compound metabolic process
PA0112	208964.PA0112	GO Process	GO:1901362	Organic cyclic compound biosynthetic process
PA0112	208964.PA0112	GO Process	GO:1901564	Organonitrogen compound metabolic process
PA0112	208964.PA0112	GO Process	GO:1901566	Organonitrogen compound biosynthetic process
PA0112	208964.PA0112	GO Process	GO:1901576	Organic substance biosynthetic process
PA0112	208964.PA0112	GO Function	GO:0003824	Catalytic activity
PA0112	208964.PA0112	GO Function	GO:0016491	Oxidoreductase activity
PA0112	208964.PA0112	GO Function	GO:0016651	Oxidoreductase activity, acting on NAD(P)H
PA0112	208964.PA0112	GO Function	GO:0016653	Oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor
PA0112	208964.PA0112	GO Component	GO:0016020	Membrane
PA0112	208964.PA0112	GO Component	GO:0016021	Integral component of membrane
PA0112	208964.PA0112	GO Component	GO:0031224	Intrinsic component of membrane
PA0112	208964.PA0112	GO Component	GO:0110165	Cellular anatomical entity
PA0112	208964.PA0112	STRING clusters	CL:2784	Mixed, incl. Oxidative phosphorylation, and Cytochrome c-type biogenesis
PA0112	208964.PA0112	STRING clusters	CL:2785	Mixed, incl. Oxidative phosphorylation, and Cytochrome c-type biogenesis
PA0112	208964.PA0112	STRING clusters	CL:2786	Oxidative phosphorylation, and Sodium:proton antiporter activity
PA0112	208964.PA0112	STRING clusters	CL:2787	Oxidative phosphorylation, and Peptidase M16, N-terminal
PA0112	208964.PA0112	STRING clusters	CL:2788	Oxidative phosphorylation, and Peptidase M16, N-terminal
PA0112	208964.PA0112	STRING clusters	CL:2842	Mixed, incl. Copper, and Redoxin
PA0112	208964.PA0112	STRING clusters	CL:2845	Mixed, incl. Copper, and Heme O metabolic process
PA0112	208964.PA0112	KEGG	pae00190	Oxidative phosphorylation
PA0112	208964.PA0112	KEGG	pae00860	Porphyrin and chlorophyll metabolism
PA0112	208964.PA0112	KEGG	pae01100	Metabolic pathways
PA0112	208964.PA0112	KEGG	pae01110	Biosynthesis of secondary metabolites
PA0112	208964.PA0112	KEGG	pae02020	Two-component system
PA0112	208964.PA0112	COMPARTMENTS	GOCC:0005622	Intracellular
PA0112	208964.PA0112	COMPARTMENTS	GOCC:0005737	Cytoplasm
PA0112	208964.PA0112	COMPARTMENTS	GOCC:0005739	Mitochondrion
PA0112	208964.PA0112	COMPARTMENTS	GOCC:0043226	Organelle
PA0112	208964.PA0112	COMPARTMENTS	GOCC:0043227	Membrane-bounded organelle
PA0112	208964.PA0112	COMPARTMENTS	GOCC:0043229	Intracellular organelle
PA0112	208964.PA0112	COMPARTMENTS	GOCC:0043231	Intracellular membrane-bounded organelle
PA0112	208964.PA0112	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
PA0112	208964.PA0112	UniProt Keywords	KW-0472	Membrane
PA0112	208964.PA0112	UniProt Keywords	KW-0812	Transmembrane
PA0112	208964.PA0112	UniProt Keywords	KW-1133	Transmembrane helix
PA0112	208964.PA0112	Pfam	PF02628	Cytochrome oxidase assembly protein
PA0112	208964.PA0112	InterPro	IPR003780	COX15/CtaA family
PA0124	208964.PA0124	STRING clusters	CL:10221	Mostly uncharacterized, incl. Helix-turn-helix XRE-family like proteins, and Peptidase M48
PA0124	208964.PA0124	STRING clusters	CL:10222	Mostly uncharacterized, incl. Peptidase M48, and Toxin-antitoxin system, RelE/ParE toxin family
PA0124	208964.PA0124	STRING clusters	CL:10258	Mixed, incl. Toxin-antitoxin system, RelE/ParE toxin family, and Peptidase M48
PA0124	208964.PA0124	STRING clusters	CL:10262	Mixed, incl. Toxin-antitoxin system, RelE/ParE toxin family, and HD domain
PA0124	208964.PA0124	Pfam	PF05016	ParE toxin of type II toxin-antitoxin system, parDE
PA0124	208964.PA0124	InterPro	IPR007712	Toxin-antitoxin system, RelE/ParE toxin family
PA0124	208964.PA0124	InterPro	IPR035093	Toxin-antitoxin system, RelE/ParE toxin domain superfamily
PA0200	208964.PA0200	STRING clusters	CL:2537	Mixed, incl. Nitrogen metabolism, and Molybdenum cofactor biosynthesis
PA0200	208964.PA0200	STRING clusters	CL:2697	Mixed, incl. UspA, and Alcohol dehydrogenase, zinc-type, conserved site
PA0200	208964.PA0200	STRING clusters	CL:2698	Mixed, incl. UspA, and Alcohol dehydrogenase, zinc-type, conserved site
PA0200	208964.PA0200	STRING clusters	CL:2700	Mixed, incl. UspA, and Alcohol dehydrogenase, zinc-type, conserved site
PA0200	208964.PA0200	STRING clusters	CL:2702	Mixed, incl. UspA, and Alcohol dehydrogenase, zinc-type, conserved site
PA0200	208964.PA0200	STRING clusters	CL:2704	Mixed, incl. UspA, and Macro domain
PA0200	208964.PA0200	STRING clusters	CL:2705	Mixed, incl. Macro domain, and Gas transport
PA0200	208964.PA0200	Pfam	PF11278	Protein of unknown function (DUF3079)
PA0200	208964.PA0200	InterPro	IPR021430	Protein of unknown function DUF3079
PA0329	208964.PA0329	STRING clusters	CL:7491	Mostly uncharacterized, incl. Starch and sucrose metabolism, and Ferritin-like
PA0329	208964.PA0329	STRING clusters	CL:7492	Mostly uncharacterized, incl. Starch and sucrose metabolism, and Ferritin-like
PA0329	208964.PA0329	STRING clusters	CL:7493	Mostly uncharacterized, incl. Starch and sucrose metabolism, and Ferritin-like
PA0329	208964.PA0329	STRING clusters	CL:7607	Mostly uncharacterized, incl. Protein of unknown function DUF3509, and BON domain
PA0329	208964.PA0329	STRING clusters	CL:7608	Mostly uncharacterized, incl. Protein of unknown function DUF3509, and BON domain
PA0329	208964.PA0329	STRING clusters	CL:7609	Mostly uncharacterized, incl. Protein of unknown function DUF3509, and BON domain
PA0329	208964.PA0329	STRING clusters	CL:7610	Mostly uncharacterized, incl. DUF883 N-terminal domain, and Domain of unknown function DUF4398
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0000785	Chromatin
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0000786	Nucleosome
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0005622	Intracellular
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0005694	Chromosome
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0032991	Protein-containing complex
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0032993	protein-DNA complex
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0043226	Organelle
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0043228	Non-membrane-bounded organelle
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0043229	Intracellular organelle
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0043232	Intracellular non-membrane-bounded organelle
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0044815	DNA packaging complex
PA0329	208964.PA0329	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
PA0329	208964.PA0329	UniProt Keywords	KW-0677	Repeat
PA0329	208964.PA0329	Pfam	PF07411	Domain of unknown function (DUF1508)
PA0329	208964.PA0329	InterPro	IPR010879	Domain of unknown function DUF1508
PA0329	208964.PA0329	InterPro	IPR036913	YegP-like superfamily
PA0459	208964.PA0459	GO Process	GO:0006508	Proteolysis
PA0459	208964.PA0459	GO Process	GO:0006807	Nitrogen compound metabolic process
PA0459	208964.PA0459	GO Process	GO:0006950	Response to stress
PA0459	208964.PA0459	GO Process	GO:0008152	Metabolic process
PA0459	208964.PA0459	GO Process	GO:0009266	Response to temperature stimulus
PA0459	208964.PA0459	GO Process	GO:0009408	Response to heat
PA0459	208964.PA0459	GO Process	GO:0009628	Response to abiotic stimulus
PA0459	208964.PA0459	GO Process	GO:0009987	Cellular process
PA0459	208964.PA0459	GO Process	GO:0019538	Protein metabolic process
PA0459	208964.PA0459	GO Process	GO:0033554	Cellular response to stress
PA0459	208964.PA0459	GO Process	GO:0034605	Cellular response to heat
PA0459	208964.PA0459	GO Process	GO:0043170	Macromolecule metabolic process
PA0459	208964.PA0459	GO Process	GO:0044238	Primary metabolic process
PA0459	208964.PA0459	GO Process	GO:0050896	Response to stimulus
PA0459	208964.PA0459	GO Process	GO:0051716	Cellular response to stimulus
PA0459	208964.PA0459	GO Process	GO:0071704	Organic substance metabolic process
PA0459	208964.PA0459	GO Process	GO:1901564	Organonitrogen compound metabolic process
PA0459	208964.PA0459	GO Function	GO:0000166	Nucleotide binding
PA0459	208964.PA0459	GO Function	GO:0003824	Catalytic activity
PA0459	208964.PA0459	GO Function	GO:0005488	Binding
PA0459	208964.PA0459	GO Function	GO:0005524	ATP binding
PA0459	208964.PA0459	GO Function	GO:0008233	Peptidase activity
PA0459	208964.PA0459	GO Function	GO:0016462	Pyrophosphatase activity
PA0459	208964.PA0459	GO Function	GO:0016787	Hydrolase activity
PA0459	208964.PA0459	GO Function	GO:0016817	Hydrolase activity, acting on acid anhydrides
PA0459	208964.PA0459	GO Function	GO:0016818	Hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
PA0459	208964.PA0459	GO Function	GO:0016887	ATP hydrolysis activity
PA0459	208964.PA0459	GO Function	GO:0017076	Purine nucleotide binding
PA0459	208964.PA0459	GO Function	GO:0017111	Nucleoside-triphosphatase activity
PA0459	208964.PA0459	GO Function	GO:0030554	Adenyl nucleotide binding
PA0459	208964.PA0459	GO Function	GO:0032553	Ribonucleotide binding
PA0459	208964.PA0459	GO Function	GO:0032555	Purine ribonucleotide binding
PA0459	208964.PA0459	GO Function	GO:0032559	Adenyl ribonucleotide binding
PA0459	208964.PA0459	GO Function	GO:0035639	Purine ribonucleoside triphosphate binding
PA0459	208964.PA0459	GO Function	GO:0036094	Small molecule binding
PA0459	208964.PA0459	GO Function	GO:0043167	Ion binding
PA0459	208964.PA0459	GO Function	GO:0043168	Anion binding
PA0459	208964.PA0459	GO Function	GO:0097159	Organic cyclic compound binding
PA0459	208964.PA0459	GO Function	GO:0097367	Carbohydrate derivative binding
PA0459	208964.PA0459	GO Function	GO:0140096	Catalytic activity, acting on a protein
PA0459	208964.PA0459	GO Function	GO:0140657	ATP-dependent activity
PA0459	208964.PA0459	GO Function	GO:1901265	Nucleoside phosphate binding
PA0459	208964.PA0459	GO Function	GO:1901363	Heterocyclic compound binding
PA0459	208964.PA0459	GO Component	GO:0005622	Intracellular anatomical structure
PA0459	208964.PA0459	GO Component	GO:0005737	Cytoplasm
PA0459	208964.PA0459	GO Component	GO:0110165	Cellular anatomical entity
PA0459	208964.PA0459	STRING clusters	CL:1226	Mixed, incl. Ubiquinone metabolic process, and Cell division site
PA0459	208964.PA0459	STRING clusters	CL:1286	Mixed, incl. AFG1-like ATPase, and YegP-like superfamily
PA0459	208964.PA0459	COMPARTMENTS	GOCC:0005622	Intracellular
PA0459	208964.PA0459	COMPARTMENTS	GOCC:0005737	Cytoplasm
PA0459	208964.PA0459	COMPARTMENTS	GOCC:0005829	Cytosol
PA0459	208964.PA0459	COMPARTMENTS	GOCC:0009368	Endopeptidase Clp complex
PA0459	208964.PA0459	COMPARTMENTS	GOCC:0032991	Protein-containing complex
PA0459	208964.PA0459	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
PA0459	208964.PA0459	UniProt Keywords	KW-0067	ATP-binding
PA0459	208964.PA0459	UniProt Keywords	KW-0143	Chaperone
PA0459	208964.PA0459	UniProt Keywords	KW-0175	Coiled coil
PA0459	208964.PA0459	UniProt Keywords	KW-0378	Hydrolase
PA0459	208964.PA0459	UniProt Keywords	KW-0547	Nucleotide-binding
PA0459	208964.PA0459	UniProt Keywords	KW-0645	Protease
PA0459	208964.PA0459	UniProt Keywords	KW-0677	Repeat
PA0459	208964.PA0459	Pfam	PF02861	Clp amino terminal domain, pathogenicity island component
PA0459	208964.PA0459	InterPro	IPR001270	ClpA/B family
PA0459	208964.PA0459	InterPro	IPR003593	AAA+ ATPase domain
PA0459	208964.PA0459	InterPro	IPR003959	ATPase, AAA-type, core
PA0459	208964.PA0459	InterPro	IPR004176	Clp, repeat (R) domain
PA0459	208964.PA0459	InterPro	IPR019489	Clp ATPase, C-terminal
PA0459	208964.PA0459	InterPro	IPR027417	P-loop containing nucleoside triphosphate hydrolase
PA0459	208964.PA0459	InterPro	IPR028299	ClpA/B, conserved site 2
PA0459	208964.PA0459	InterPro	IPR036628	Clp, N-terminal domain superfamily
PA0459	208964.PA0459	InterPro	IPR041546	ClpA/ClpB, AAA lid domain
PA0459	208964.PA0459	SMART	SM00382	ATPases associated with a variety of cellular activities
PA0459	208964.PA0459	SMART	SM01086	C-terminal, D2-small domain, of ClpB protein
PA0510	208964.PA0510	GO Process	GO:0006091	Generation of precursor metabolites and energy
PA0510	208964.PA0510	GO Process	GO:0006725	Cellular aromatic compound metabolic process
PA0510	208964.PA0510	GO Process	GO:0006778	Porphyrin-containing compound metabolic process
PA0510	208964.PA0510	GO Process	GO:0006779	Porphyrin-containing compound biosynthetic process
PA0510	208964.PA0510	GO Process	GO:0006783	Heme biosynthetic process
PA0510	208964.PA0510	GO Process	GO:0006807	Nitrogen compound metabolic process
PA0510	208964.PA0510	GO Process	GO:0008152	Metabolic process
