#node	identifier	domain_summary_url	annotation	other_names_and_aliases
PA0329	208964.PA0329	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences); Belongs to the UPF0339 family. Duplicated subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=110:Pfam_DUF1508(10|57)+Pfam_DUF1508(61|108)+	882179,AAG03718,AAG03718.1,Conserved hypothetical protein,Hypothetical protein,NC_002516.2,NP_249020,NP_249020.1,NZ_QZGE01000016.1,PA0329,Q9I6G2,UPF0339 protein PA0329,Uncharacterized protein,WP_003112957.1,Y329_PSEAE,conserved hypothetical protein,pae:PA0329
PA0459	208964.PA0459	Probable ClpA/B protease ATP binding subunit; Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene); Belongs to the ClpA/ClpB family.	https://smart.embl.de/smart/DDvec.cgi?smart=850:Pfam_Clp_N(18|66)+Pfam_Clp_N(93|145)+AAA(199|347)+AAA(539|713)+ClpB_D2-small(712|802)+	881659,AAG03848,AAG03848.1,Chaperone protein ClpB,NC_002516.2,NP_249150,NP_249150.1,PA0459,Probable ClpA/B protease ATP binding subunit,Q9I659,Q9I659_PSEAE,WP_010895510.1,pae:PA0459,probable ClpA/B protease ATP binding subunit
PA0510	208964.PA0510	Probable uroporphyrin-III c-methyltransferase; Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene); Belongs to the precorrin methyltransferase family.	https://smart.embl.de/smart/DDvec.cgi?smart=279:Pfam_TP_methylase(19|231)+	2.1.1.107,881871,AAG03899,AAG03899.1,EC 2.1.1.107,G3XD80,G3XD80_PSEAE,NC_002516.2,NP_249201,NP_249201.1,NZ_QZGE01000010.1,PA0510,Probable uroporphyrin-III c-methyltransferase,Uroporphyrin-III C-methyltransferase,WP_003113243.1,pae:PA0510,probable uroporphyrin-III c-methyltransferase
PA0578	208964.PA0578	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=149:Pfam_YqeY(5|147)+	880823,AAG03967,AAG03967.1,Conserved hypothetical protein,Hypothetical protein,NC_002516.2,NP_249269,NP_249269.1,NZ_QZGE01000010.1,PA0578,Q9I5V9,Q9I5V9_PSEAE,Uncharacterized protein,WP_003085042.1,conserved hypothetical protein,pae:PA0578
PA0614	208964.PA0614	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=149:Pfam_Phage_holin_3_3(46|125)+	880722,AAG04003,AAG04003.1,Hypothetical protein,NC_002516.2,NP_249305,NP_249305.1,NZ_QZGE01000010.1,PA0614,Q9I5T0,Q9I5T0_PSEAE,Uncharacterized protein,WP_003118908.1,hypothetical protein,pae:PA0614
PA0618	208964.PA0618	Probable bacteriophage protein; Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene).	https://smart.embl.de/smart/DDvec.cgi?smart=295:Pfam_Baseplate_J(109|255)+	5CES,879222,AAG04007,AAG04007.1,Bacteriophage protein,G3XCX5,G3XCX5_PSEAE,NC_002516.2,NP_249309,NP_249309.1,NZ_QZGE01000010.1,PA0618,Probable bacteriophage protein,WP_003085151.1,pae:PA0618,probable bacteriophage protein
PA0620	208964.PA0620	Probable bacteriophage protein; Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene).	https://smart.embl.de/smart/DDvec.cgi?smart=691:Pfam_DUF3751(4|158)+	6CL6,6CT8,6CU2,877993,AAG04009,AAG04009.1,Bacteriophage protein,G3XD71,G3XD71_PSEAE,NC_002516.2,NP_249311,NP_249311.1,NZ_QZGE01000010.1,PA0620,Probable bacteriophage protein,WP_003113198.1,pae:PA0620,probable bacteriophage protein
PA0621	208964.PA0621	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=152:Pfam_Phage_tail_APC(76|144)+	878615,AAG04010,AAG04010.1,Conserved hypothetical protein,G3XD08,G3XD08_PSEAE,Hypothetical protein,NC_002516.2,NP_249312,NP_249312.1,NZ_QZGE01000010.1,PA0621,Uncharacterized protein,WP_010895512.1,conserved hypothetical protein,pae:PA0621
PA0622	208964.PA0622	Probable bacteriophage protein; Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene).	https://smart.embl.de/smart/DDvec.cgi?smart=386:Pfam_Phage_sheath_1(106|272)+Pfam_Phage_sheath_1C(273|375)+	877994,AAG04011,AAG04011.1,Bacteriophage protein,G3XD39,G3XD39_PSEAE,NC_002516.2,NP_249313,NP_249313.1,NZ_QZGE01000010.1,PA0622,Probable bacteriophage protein,Uncharacterized protein,WP_003113197.1,pae:PA0622,probable bacteriophage protein
PA0624	208964.PA0624	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=114:Pfam_Phage_TAC_7(19|96)+	877599,AAG04013,AAG04013.1,G3XCX2,G3XCX2_PSEAE,Hypothetical protein,NC_002516.2,NP_249315,NP_249315.1,NZ_QZGE01000010.1,PA0624,Uncharacterized protein,WP_003085178.1,hypothetical protein,pae:PA0624
PA0627	208964.PA0627	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=68:Pfam_Phage_tail_X(3|62)+	878208,AAG04016,AAG04016.1,Conserved hypothetical protein,G3XD62,G3XD62_PSEAE,Hypothetical protein,NC_002516.2,NP_249318,NP_249318.1,NZ_QZGE01000010.1,PA0627,Uncharacterized protein,WP_003101635.1,conserved hypothetical protein,pae:PA0627
PA0628	208964.PA0628	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=329:Pfam_Phage_GPD(32|314)+	877597,AAG04017,AAG04017.1,Conserved hypothetical protein,G3XCU8,G3XCU8_PSEAE,Hypothetical protein,NC_002516.2,NP_249319,NP_249319.1,NZ_QZGE01000010.1,PA0628,Uncharacterized protein,WP_003113193.1,conserved hypothetical protein,pae:PA0628
PA0629	208964.PA0629	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=209:Pfam_Glyco_hydro_19(49|175)+	880762,AAG04018,AAG04018.1,Conserved hypothetical protein,G3XD75,G3XD75_PSEAE,Hypothetical protein,NC_002516.2,NP_249320,NP_249320.1,NZ_QZGE01000010.1,PA0629,Putative chitinase,Uncharacterized protein,WP_003113192.1,conserved hypothetical protein,pae:PA0629
PA0633	208964.PA0633	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=164:Pfam_Phage_TTP_11(25|161)+	878027,AAG04022,AAG04022.1,G3XD38,G3XD38_PSEAE,Hypothetical protein,NC_002516.2,NP_249324,NP_249324.1,NZ_QZGE01000010.1,PA0633,Uncharacterized protein,WP_003113190.1,hypothetical protein,pae:PA0633
PA0634	208964.PA0634	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=115:Pfam_Phage_TAC_13(4|107)+	878405,AAG04023,AAG04023.1,G3XD68,G3XD68_PSEAE,Hypothetical protein,NC_002516.2,NP_249325,NP_249325.1,NZ_QZGE01000010.1,PA0634,Uncharacterized protein,WP_003113189.1,hypothetical protein,pae:PA0634
PA0635	208964.PA0635	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	http://smart.embl.de/smart/DDvec.cgi?smart=84:	882071,AAG04024,AAG04024.1,G3XD56,G3XD56_PSEAE,Hypothetical protein,NC_002516.2,NP_249326,NP_249326.1,NZ_QZGE01000010.1,PA0635,Uncharacterized protein,WP_003113188.1,hypothetical protein,pae:PA0635
PA0636	208964.PA0636	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=611:Pfam_Tape_meas_lam_C(98|172)+Pfam_Tape_meas_lam_C(215|290)+Pfam_Tape_meas_lam_C(377|452)+	878378,AAG04025,AAG04025.1,G3XD57,G3XD57_PSEAE,Hypothetical protein,NC_002516.2,NP_249327,NP_249327.1,NZ_QZGE01000010.1,PA0636,Uncharacterized protein,WP_003113187.1,hypothetical protein,pae:PA0636
PA0637	208964.PA0637	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=113:Pfam_Phage_min_tail(5|111)+	882114,AAG04026,AAG04026.1,Conserved hypothetical protein,G3XCW1,G3XCW1_PSEAE,Hypothetical protein,NC_002516.2,NP_249328,NP_249328.1,NZ_QZGE01000010.1,PA0637,Uncharacterized protein,WP_003113186.1,conserved hypothetical protein,pae:PA0637
PA0638	208964.PA0638	Probable bacteriophage protein; Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene).	https://smart.embl.de/smart/DDvec.cgi?smart=231:Pfam_Phage_tail_L(24|229)+	879225,AAG04027,AAG04027.1,Bacteriophage protein,NC_002516.2,NP_249329,NP_249329.1,NZ_QZGE01000010.1,PA0638,Probable bacteriophage protein,Q9I5S8,Q9I5S8_PSEAE,WP_003113185.1,pae:PA0638,probable bacteriophage protein
PA0641	208964.PA0641	Probable bacteriophage protein; Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene).	https://smart.embl.de/smart/DDvec.cgi?smart=1204:Pfam_Phage-tail_3(337|507)+FN3(621|702)+Pfam_DUF1983(1068|1146)+	878365,AAG04030,AAG04030.1,Bacteriophage protein,NC_002516.2,NP_249332,NP_249332.1,NZ_QZGE01000010.1,PA0641,Probable bacteriophage protein,Q9I5S5,Q9I5S5_PSEAE,WP_003113182.1,pae:PA0641,probable bacteriophage protein
PA0713	208964.PA0713	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=97:Pfam_DUF2845(18|95)+	882235,AAG04102,AAG04102.1,Hypothetical protein,NC_002516.2,NP_249404,NP_249404.1,NZ_QZGE01000025.1,PA0713,Q9I5L5,Q9I5L5_PSEAE,Uncharacterized protein,WP_003141121.1,hypothetical protein,pae:PA0713
PA0805	208964.PA0805	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	http://smart.embl.de/smart/DDvec.cgi?smart=75:	879455,AAG04194,AAG04194.1,Hypothetical protein,NC_002516.2,NP_249496,NP_249496.1,NZ_QZGE01000007.1,PA0805,Q9I5D3,Q9I5D3_PSEAE,Uncharacterized protein,WP_003085644.1,hypothetical protein,pae:PA0805
PA0907	208964.PA0907	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	http://smart.embl.de/smart/DDvec.cgi?smart=176:	878349,AAG04296,AAG04296.1,Hypothetical protein,NC_002516.2,NP_249598,NP_249598.1,NZ_QZGE01000007.1,PA0907,Q9I550,Q9I550_PSEAE,Uncharacterized protein,WP_003085984.1,hypothetical protein,pae:PA0907
PA0918	208964.PA0918	Cytochrome b561; Product name confidence: Class 2 (High similarity to functionally studied protein).	https://smart.embl.de/smart/DDvec.cgi?smart=182:Pfam_Ni_hydr_CYTB(9|180)+	1.10.3.17,878803,AAG04307,AAG04307.1,Cytochrome b561,EC 1.10.3.17,NC_002516.2,NP_249609,NP_249609.1,NZ_QZGE01000007.1,PA0918,Q9I539,Q9I539_PSEAE,Superoxide oxidase,WP_003112597.1,cytochrome b561,pae:PA0918
PA0922	208964.PA0922	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	http://smart.embl.de/smart/DDvec.cgi?smart=104:	881525,AAG04311,AAG04311.1,Hypothetical protein,NC_002516.2,NP_249613,NP_249613.1,NZ_QZGE01000007.1,PA0922,Q9I535,Q9I535_PSEAE,Uncharacterized protein,WP_003086015.1,hypothetical protein,pae:PA0922
PA1029	208964.PA1029	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=95:Pfam_DUF2384(44|94)+	AAG04418,AAG04418.1,DUF2384 domain-containing protein,Hypothetical protein,PA1029,Q9I4U5,Q9I4U5_PSEAE,hypothetical protein
PA1030	208964.PA1030	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=251:RES(71|208)+	880318,AAG04419,AAG04419.1,Hypothetical protein,NC_002516.2,NP_249721,NP_249721.1,NZ_QZGE01000006.1,PA1030,Q9I4U4,Q9I4U4_PSEAE,RES domain-containing protein,WP_003112528.1,hypothetical protein,pae:PA1030
PA1041	208964.PA1041	Probable outer membrane protein precursor; Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene).	https://smart.embl.de/smart/DDvec.cgi?smart=210:SIGNAL(1|22)+Pfam_OmpA(104|201)+	881756,AAG04430,AAG04430.1,Hypothetical protein,NC_002516.2,NP_249732,NP_249732.1,NZ_QZGE01000006.1,PA1041,Probable outer membrane protein,Probable outer membrane protein precursor,Q9I4T3,Q9I4T3_PSEAE,WP_003082015.1,pae:PA1041,probable outer membrane protein precursor
PA1058	208964.PA1058	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=89:TRANS(2|24)+Pfam_MrpF_PhaF(31|83)+	881139,AAG04447,AAG04447.1,Conserved hypothetical protein,Monovalent cation/H+ antiporter subunit F,Multicomponent K+:H+ antiporter subunit F,NC_002516.2,NP_249749,NP_249749.1,NZ_QZGE01000006.1,PA1058,Q9I4R6,Q9I4R6_PSEAE,Uncharacterized protein,WP_003082079.1,conserved hypothetical protein,pae:PA1058
PA1096	208964.PA1096	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=98:Pfam_FliT(15|94)+	882066,AAG04485,AAG04485.1,Hypothetical protein,NC_002516.2,NP_249787,NP_249787.1,NZ_QZGE01000006.1,PA1096,Q9I4N5,Q9I4N5_PSEAE,Uncharacterized protein,WP_003082194.1,hypothetical protein,pae:PA1096
PA1164	208964.PA1164	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=270:Pfam_ThiF(4|270)+	878058,AAG04553,AAG04553.1,Conserved hypothetical protein,Hypothetical protein,NC_002516.2,NP_249855,NP_249855.1,NZ_QZGE01000006.1,PA1164,Q9I4H3,Q9I4H3_PSEAE,TRNA threonylcarbamoyladenosine dehydratase,ThiF domain-containing protein,WP_003112469.1,conserved hypothetical protein,pae:PA1164
PA1299	208964.PA1299	Conserved hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences); Belongs to the UPF0260 family.	https://smart.embl.de/smart/DDvec.cgi?smart=149:Pfam_CxxCxxCC(25|94)+	881499,AAG04688,AAG04688.1,Conserved hypothetical protein,Hypothetical protein,NC_002516.2,NP_249990,NP_249990.1,NZ_QZGE01000005.1,PA1299,Q9I445,UPF0260 protein PA1299,Uncharacterized protein,WP_003082662.1,Y1299_PSEAE,conserved hypothetical protein,pae:PA1299
PA1340	208964.PA1340	Amino acid ABC transporter membrane protein; Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa.	https://smart.embl.de/smart/DDvec.cgi?smart=222:Pfam_BPD_transp_1(32|222)+	882230,AAG04729,AAG04729.1,Amino acid ABC transporter membrane protein,Amino acid ABC transporter permease,NC_002516.2,NP_250031,NP_250031.1,NZ_QZGE01000005.1,PA1340,Q9I404,Q9I404_PSEAE,WP_003082765.1,amino acid ABC transporter membrane protein,pae:PA1340
PA1342	208964.PA1342	Probable binding protein component of ABC transporter; Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene).	https://smart.embl.de/smart/DDvec.cgi?smart=302:SIGNAL(1|23)+PBPb(38|271)+	879321,AAG04731,AAG04731.1,ABC transporter,NC_002516.2,NP_250033,NP_250033.1,NZ_QZGE01000005.1,PA1342,Q9I402,Q9I402_PSEAE,WP_003082770.1,pae:PA1342
PA1440	208964.PA1440	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences); Belongs to the UPF0149 family.	https://smart.embl.de/smart/DDvec.cgi?smart=195:Pfam_UPF0149(8|182)+	881829,AAG04829,AAG04829.1,Hypothetical protein,NC_002516.2,NP_250131,NP_250131.1,NZ_QZGE01000005.1,PA1440,Q9I3Q7,Q9I3Q7_PSEAE,Uncharacterized protein,WP_003083037.1,hypothetical protein,pae:PA1440
PA1550	208964.PA1550	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=179:Pfam_FixH(12|157)+	883057,AAG04939,AAG04939.1,Hypothetical protein,NC_002516.2,NP_250241,NP_250241.1,NZ_QZGE01000032.1,PA1550,Q9I3G7,Q9I3G7_PSEAE,Uncharacterized protein,WP_003114667.1,hypothetical protein,pae:PA1550
PA1746	208964.PA1746	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=168:Pfam_Macro(18|140)+	880666,AAG05135,AAG05135.1,Hypothetical protein,Macro domain-containing protein,NC_002516.2,NP_250437,NP_250437.1,NZ_QZGE01000003.1,PA1746,Q9I2Z1,Q9I2Z1_PSEAE,WP_003087757.1,hypothetical protein,pae:PA1746
PA1789	208964.PA1789	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=287:Pfam_Usp(132|272)+	3MT0,878755,AAG05178,AAG05178.1,Hypothetical protein,NC_002516.2,NP_250480,NP_250480.1,NZ_QZGE01000003.1,PA1789,Q9I2V3,Q9I2V3_PSEAE,Usp domain-containing protein,WP_003087881.1,hypothetical protein,pae:PA1789
PA1888	208964.PA1888	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=469:SIGNAL(1|17)+	880436,AAG05277,AAG05277.1,Hypothetical protein,NC_002516.2,NP_250579,NP_250579.1,NZ_QZGE01000003.1,PA1888,Q9I2K9,Q9I2K9_PSEAE,Uncharacterized protein,WP_003114945.1,hypothetical protein,pae:PA1888
PA1894	208964.PA1894	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=230:Pfam_2OG-FeII_Oxy_3(133|220)+	878929,AAG05283,AAG05283.1,Fe2OG dioxygenase domain-containing protein,Hypothetical protein,NC_002516.2,NP_250585,NP_250585.1,NZ_QZGE01000003.1,PA1894,Q9I2K3,Q9I2K3_PSEAE,WP_003118961.1,hypothetical protein,pae:PA1894
PA2119	208964.PA2119	Alcohol dehydrogenase (Zn-dependent); Product name confidence: Class 2 (High similarity to functionally studied protein).	https://smart.embl.de/smart/DDvec.cgi?smart=366:Pfam_ADH_N(28|153)+Pfam_ADH_zinc_N_2(227|357)+	879863,AAG05507,AAG05507.1,Alcohol dehydrogenase,Alcohol dehydrogenase (Zn-dependent),NC_002516.2,NP_250809,NP_250809.1,NZ_QZGE01000014.1,PA2119,Q9I1Z6,Q9I1Z6_PSEAE,WP_003113628.1,alcohol dehydrogenase (Zn-dependent),pae:PA2119
PA2174	208964.PA2174	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	http://smart.embl.de/smart/DDvec.cgi?smart=102:	881424,AAG05562,AAG05562.1,Hypothetical protein,NC_002516.2,NP_250864,NP_250864.1,NZ_QZGE01000014.1,PA2174,Q9I1U1,Q9I1U1_PSEAE,Uncharacterized protein,WP_003144276.1,hypothetical protein,pae:PA2174
PA2224	208964.PA2224	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=242:SIGNAL(1|23)+	879713,AAG05612,AAG05612.1,Hypothetical protein,NC_002516.2,NP_250914,NP_250914.1,NZ_QZGE01000014.1,PA2224,Q9I1P5,Q9I1P5_PSEAE,Uncharacterized protein,WP_010895605.1,hypothetical protein,pae:PA2224
PA2225	208964.PA2225	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	https://smart.embl.de/smart/DDvec.cgi?smart=138:SIGNAL(1|18)+	882296,AAG05613,AAG05613.1,Hypothetical protein,NC_002516.2,NP_250915,NP_250915.1,NZ_QZGE01000014.1,PA2225,Q9I1P4,Q9I1P4_PSEAE,Uncharacterized protein,WP_003115932.1,hypothetical protein,pae:PA2225
PA2226	208964.PA2226	Hypothetical protein; Product name confidence: Class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences).	http://smart.embl.de/smart/DDvec.cgi?smart=166:	878006,AAG05614,AAG05614.1,Hypothetical protein,NC_002516.2,NP_250916,NP_250916.1,NZ_QZGE01000014.1,PA2226,Q9I1P3,Q9I1P3_PSEAE,Uncharacterized protein,WP_003124674.1,hypothetical protein,pae:PA2226
